#画像の条件による差し替え機能定義
#スクリプト中画像名,実画像名,合致条件
#記述例
#ev513ge,ev513ge,f.sel_flag==0

#立ち絵鑑賞ユーザー背景変更用
extra_userbg,&sf.exchview_userbg,sf.exchview_userbg!=''
ev712DF,ev712DF,f.EV712sel==0
ev712DF,ev712EF,f.EV712sel==1
ev712DG,ev712DG,f.EV712sel==0
ev712DG,ev712EG,f.EV712sel==1
ev712DH,ev712DH,f.EV712sel==0
ev712DH,ev712EH,f.EV712sel==1
ev712DI,ev712DI,f.EV712sel==0
ev712DI,ev712EI,f.EV712sel==1

ev712FA,ev712FA,f.EV712sel==0
ev712FA,ev712GA,f.EV712sel==1
ev712FB,ev712FB,f.EV712sel==0
ev712FB,ev712GB,f.EV712sel==1
ev712FC,ev712FC,f.EV712sel==0
ev712FC,ev712GC,f.EV712sel==1
ev712FD,ev712FD,f.EV712sel==0
ev712FD,ev712GD,f.EV712sel==1
ev712FE,ev712FE,f.EV712sel==0
ev712FE,ev712GE,f.EV712sel==1
ev712FF,ev712FF,f.EV712sel==0
ev712FF,ev712GF,f.EV712sel==1
ev712FG,ev712FG,f.EV712sel==0
ev712FG,ev712GG,f.EV712sel==1
ev712FH,ev712FH,f.EV712sel==0
ev712FH,ev712GH,f.EV712sel==1
ev712FI,ev712FI,f.EV712sel==0
ev712FI,ev712GI,f.EV712sel==1
